account_id,login_frequency,feature_adoption_pct,session_duration_avg,timestamp
ACC-1000,3,37.97,39,2026-04-30
ACC-1000,2,71.3,9,2026-04-23
ACC-1000,0,87.4,45,2026-04-16
ACC-1000,20,36.18,41,2026-04-09
ACC-1000,19,93.3,25,2026-04-02
ACC-1000,5,60.03,7,2026-03-26
ACC-1000,3,56.6,38,2026-03-19
ACC-1000,11,35.95,57,2026-03-12
ACC-1001,4,42.12,52,2026-04-30
ACC-1001,2,88.18,53,2026-04-23
ACC-1001,4,81.8,24,2026-04-16
ACC-1001,10,50.02,13,2026-04-09
ACC-1001,14,74.96,36,2026-04-02
ACC-1001,12,59.52,12,2026-03-26
ACC-1001,2,48.87,58,2026-03-19
ACC-1001,3,42.78,41,2026-03-12
ACC-1002,3,59.13,28,2026-04-30
ACC-1002,0,23.2,32,2026-04-23
ACC-1002,0,66.15,51,2026-04-16
ACC-1002,5,16.92,51,2026-04-09
ACC-1002,17,50.28,21,2026-04-02
ACC-1002,14,66.09,50,2026-03-26
ACC-1002,20,66.38,22,2026-03-19
ACC-1002,16,51.96,41,2026-03-12
ACC-1003,0,56.46,55,2026-04-30
ACC-1003,5,46.05,43,2026-04-23
ACC-1003,3,42.52,7,2026-04-16
ACC-1003,19,18.41,50,2026-04-09
ACC-1003,6,42.46,38,2026-04-02
ACC-1003,19,43.06,46,2026-03-26
ACC-1003,19,63.4,57,2026-03-19
ACC-1003,8,64.64,17,2026-03-12
ACC-1004,0,33.65,59,2026-04-30
ACC-1004,2,86.95,44,2026-04-23
ACC-1004,1,72.2,49,2026-04-16
ACC-1004,20,17.19,7,2026-04-09
ACC-1004,14,91.87,58,2026-04-02
ACC-1004,16,15.13,36,2026-03-26
ACC-1004,17,15.84,31,2026-03-19
ACC-1004,12,31.73,14,2026-03-12
ACC-1005,1,21.39,8,2026-04-30
ACC-1005,1,11.05,27,2026-04-23
ACC-1005,2,29.29,31,2026-04-16
ACC-1005,10,38.77,12,2026-04-09
ACC-1005,10,30.68,18,2026-04-02
